#{"t_start": 1554042242.6692622, "env_id": "Baxter-v0"}
r,l,t
-4.344745,17,109.885537
-31.10232,69,413.543145
-10.532554,47,596.097734
-2.330753,14,658.528579
-4.569862,15,721.393957
-4.208486,23,813.509906
-0.099172,1,820.044829
-3.233832,15,888.646404
-1.88715,11,940.696488
-3.234206,24,1033.905341
-3.275177,18,1110.500758
-3.218893,12,1167.36953
-7.233629,27,1262.55037
-16.650544,56,1455.820237
-28.102731,101,1562.90127
-4.338273,19,1634.297792
-3.498391,20,1713.391373
-2.031984,12,1768.533056
-2.589316,16,1834.482642
-5.438214,25,1921.88596
-3.962431,12,1978.530596
-2.78439,11,2023.604498
-3.481072,18,2101.140272
-3.39394,22,2193.757115
-4.387816,18,2271.510492
-2.280237,13,2334.858125
-1.759181,11,2390.802838
-2.258218,12,2437.891821
-7.246738,28,2544.607394
-0.197123,1,2551.798084
-0.638792,6,2588.461127
-2.185212,13,2642.536299
-7.903345,39,2775.678049
-3.814787,21,2857.064638
-2.324211,14,2920.131196
-4.883565,26,3019.274924
-2.222697,11,3072.891878
-5.40709,30,3174.682997
-3.910276,18,3241.573731
-4.86786,16,3303.857014
-1.10763,8,3347.303975
-5.736324,27,3440.430342
-3.938251,17,3512.169212
-7.017262,36,3636.010053
-7.103992,32,3747.867097
-10.231543,49,3906.276426
-0.953883,8,3948.874589
-3.652736,24,4045.452252
-3.399568,16,4112.868583
-2.80302,16,4179.777599
-5.453319,20,4258.528287
-3.006313,15,4324.714224
-4.179397,21,4402.182863
-3.488607,13,4451.991632
-1.665074,10,4501.610168
-0.088446,1,4509.303028
-7.78417,30,4605.672105
-3.693969,13,4657.272595
-2.590386,14,4712.619011
-3.95235,18,4777.76605
-1.637493,8,4820.74189
-2.168538,12,4875.646992
-3.675145,19,4958.479693
-1.210971,8,4997.440982
-1.126287,5,5031.389246
-1.59183,9,5077.662161
-1.586557,8,5121.228826
-4.772505,14,5180.555154
-2.51812,13,5241.27525
-2.786519,9,5288.342992
-2.293293,10,5338.829291
-1.159416,7,5380.888222
-2.103626,10,5433.664617
-2.798852,13,5495.9571
-2.858406,14,5560.349029
-2.842557,13,5620.468736
-7.706748,22,5704.287129
-0.463402,1,5711.601425
-10.153662,32,5832.481785
-2.890663,9,5880.97765
-3.689664,16,5951.473297
-4.381388,14,6021.567547
-2.771505,17,6092.582242
-2.27014,8,6138.289654
-2.912329,10,6188.250929
-4.949467,15,6250.585763
-2.414977,9,6297.908988
-2.504414,14,6351.652619
-3.628987,19,6429.861254
-6.67479,22,6507.330588
-2.684692,11,6559.194528
-4.467404,18,6629.362164
-4.019976,19,6702.297019
-5.653271,18,6775.03027
-3.227861,15,6832.817746
-3.156521,9,6871.881307
-4.012096,19,6941.600214
-2.16994,9,6988.254366
-3.712301,10,7028.878544
-12.181166,32,7105.121928
-2.076215,8,7148.698543
-7.11837,20,7226.439876
-4.035247,19,7300.19348
-4.01767,14,7354.338698
-2.648951,15,7410.058321
-7.043287,22,7490.535329
-5.667782,16,7547.651901
-11.300402,36,7668.494697
-4.618485,13,7725.133224
-4.437063,18,7798.155659
-8.120695,28,7902.463651
-2.687944,14,7965.867139
-8.007312,21,8049.011175
-3.062745,13,8107.049262
-7.255539,27,8207.082003
-3.622777,15,8265.20196
-3.366252,11,8308.887934
-4.779353,19,8385.530729
-5.834785,16,8453.643959
-2.704061,10,8502.212196
-4.168344,16,8561.509233
-5.61117,16,8621.241427
-4.654414,13,8677.894688
-8.719839,24,8771.412492
-2.847368,9,8817.678706
-5.04683,17,8879.813491
-3.184531,11,8933.094074
-4.258612,22,9011.376622
-4.794943,15,9076.18223
-6.232171,19,9144.498022
-3.341142,14,9203.218428
-5.534576,20,9283.160227
-1.399758,8,9326.685485
-8.398767,30,9436.844468
-4.667463,17,9509.823752
-4.525977,15,9574.362292
-8.678263,21,9659.881645
-4.736203,13,9709.492328
-9.39999,22,9790.319835
-2.032572,8,9831.848651
-1.831717,7,9871.226732
-5.720767,16,9941.268334
-1.735725,7,9974.728535
-9.128308,29,10079.83789
-2.697942,13,10135.558602
-3.250817,12,10193.41727
-4.937605,20,10272.871308
-3.522186,11,10323.699383
-4.1479,14,10376.525279
-3.693693,12,10432.661921
-5.536722,13,10491.809915
-1.340449,5,10517.819178
-3.547327,19,10596.128093
-7.675537,20,10667.395799
-5.098857,16,10734.124407
-5.588499,17,10795.545763
-1.968972,8,10841.859478
-5.475032,24,10929.523716
-5.720347,16,10991.628497
-4.229626,11,11043.358253
-6.28717,27,11142.419238
-5.127286,18,11207.654237
-6.939965,17,11271.609869
-2.577462,9,11316.410667
-4.152509,12,11368.080681
-3.840957,10,11409.778122
-3.687676,11,11462.073004
-0.289447,1,11469.018523
-4.589964,12,11524.738422
-3.802601,13,11574.741672
-4.046556,13,11625.454489
-2.880365,8,11668.799302
-3.751373,12,11715.911016
-2.613613,7,11748.202633
-5.16936,13,11800.203239
-3.443761,17,11870.222535
-3.759201,13,11927.008679
-2.413155,12,11980.247497
-4.93943,14,12042.419552
-2.184332,6,12071.901968
-3.29355,10,12112.010299
-2.737957,8,12146.597773
-4.761035,18,12222.512551
-3.18054,10,12263.499237
-4.076198,12,12315.976428
-7.064923,21,12391.47394
-5.396946,12,12447.04307
-3.598003,8,12482.519192
-2.738631,10,12532.364729
-3.179251,11,12581.768018
-3.789572,12,12628.479713
-3.750207,12,12674.41103
-7.384825,20,12747.949028
-3.401684,12,12801.231009
-3.615946,13,12850.280116
-2.278497,9,12887.891718
-2.486288,9,12924.527922
-3.75338,10,12973.293192
-4.098884,23,13065.182824
-3.373383,8,13108.658215
-3.634898,11,13159.532131
-3.46389,10,13210.026643
-4.83309,11,13252.43848
-2.733589,7,13286.393275
-4.270719,13,13343.298765
-3.25569,9,13389.658068
-2.404269,11,13440.914981
-4.463705,10,13488.69242
-2.293666,7,13519.827118
-3.292733,9,13565.569
-3.767475,10,13605.91901
-3.371283,14,13661.950853
-4.729592,17,13715.315882
-7.113434,18,13790.08528
-3.547464,13,13847.545374
-3.038612,8,13924.170801
-4.424106,12,14009.659661
-3.638003,10,14074.680244
-3.028782,11,14139.86722
-3.557677,10,14199.28919
-2.034356,7,14246.580072
-2.177699,6,14289.449677
-3.992739,12,14350.370404
-2.357894,8,14398.850186
-3.132072,11,14455.253886
-2.992675,15,14525.030116
-3.089345,10,14580.495941
-2.394971,8,14620.645928
-3.556195,11,14679.532978
-4.244574,18,14754.062222
-2.980796,9,14808.96743
-3.542377,11,14870.982549
-3.246801,13,14928.449513
-0.154067,1,14936.439464
-2.489576,9,14987.416989
-3.332112,12,15040.56457
-4.077454,11,15100.632158
-3.698299,11,15157.722878
-3.745735,14,15223.393192
-2.689821,9,15272.772644
-2.770119,11,15327.930341
-3.65038,10,15374.913586
-3.832144,10,15430.155891
-6.538038,19,15568.25334
-4.088557,10,15633.138629
-5.009193,16,15705.661482
-2.861657,13,15769.212087
-3.73305,11,15823.581035
-2.812308,9,15869.590297
-6.081367,15,15931.540761
-4.076204,10,15972.734607
-1.977258,6,16000.683952
-3.037196,12,16047.385049
-3.781634,12,16101.054582
-3.557181,10,16151.349293
-4.136586,14,16214.6602
-3.447512,10,16265.572397
-2.061876,6,16295.794318
-3.719001,10,16345.646789
-2.701896,13,16407.385312
-3.188334,9,16453.7381
-3.842911,10,16492.841546
-4.854754,19,16557.117194
-3.258,9,16594.076497
-3.678345,10,16634.691184
-5.07216,15,16688.97759
-3.918299,9,16736.293087
-2.112452,7,16778.041757
-2.703534,8,16822.890599
-1.893241,6,16860.308946
-2.133912,8,16895.479446
-4.742365,15,16962.716653
-5.242827,12,17020.782742
-2.932268,7,17062.121424
-2.504546,7,17104.47144
-5.721808,15,17166.029455
-3.295359,8,17203.552425
-5.295407,15,17260.469142
-2.122388,7,17301.967506
-2.389362,7,17334.697246
-4.046152,11,17388.577837
-3.264859,8,17432.570897
-2.567787,6,17471.248028
-4.625744,13,17522.284546
-3.780746,10,17564.308036
-3.387257,10,17615.933974
-2.877948,8,17661.940364
-2.58882,7,17695.846177
-3.576671,10,17744.186184
-2.850103,12,17800.02581
-3.304278,8,17842.949586
-3.544818,12,17898.282419
-3.843646,11,17944.042415
-3.414322,9,17993.018379
-2.407334,8,18036.472171
-2.647583,7,18069.579878
-2.243795,6,18099.609632
-5.161633,14,18162.754936
-2.804175,9,18209.672272
-3.370261,11,18254.817337
-3.526297,9,18304.308071
-3.959316,11,18352.115076
-3.966067,12,18409.32471
-3.860435,16,18479.225926
-2.916637,11,18534.062519
-2.973087,10,18584.974079
-4.400182,13,18638.548757
-2.147563,6,18668.697684
-3.67996,11,18723.505569
-2.067155,6,18761.303416
-2.881906,8,18799.028937
-3.347359,11,18853.316428
-3.701197,16,18918.789791
-1.857806,5,18945.906264
-4.401698,10,18987.199381
-2.832747,8,19030.786718
-4.432399,13,19085.76652
-2.422871,8,19123.191794
-2.587423,8,19167.204967
-6.767721,15,19216.514182
-3.058529,9,19264.789311
-3.31095,9,19312.336389
-4.551081,12,19360.426201
-1.91804,5,19388.069677
-2.609987,7,19420.344372
-3.587339,12,19478.405422
-4.117356,12,19532.424449
-2.261843,6,19569.965534
-2.78907,10,19616.389511
-2.544222,7,19648.922601
-7.476435,22,19721.247318
-1.990096,6,19748.650379
-3.457497,10,19797.915742
-2.091089,6,19825.764678
-2.794397,6,19861.688304
-2.910706,11,19912.771215
-2.442049,6,19942.779094
-2.358216,7,19980.712031
-2.389458,8,20014.570179
-1.854044,5,20047.265398
-2.658652,6,20083.25339
-5.436509,14,20145.226437
-2.898128,9,20189.21332
-1.95143,5,20223.315912
-5.857519,22,20304.966849
-4.455194,11,20360.484103
-3.220271,12,20417.448432
-1.872603,5,20444.394189
-2.463624,6,20481.506079
-3.098024,7,20523.503629
-2.666166,8,20559.888691
-3.495731,10,20599.80022
-2.082066,5,20634.994296
-2.161823,6,20673.811741
-2.756979,9,20712.176083
-2.984568,8,20755.144033
-1.981694,5,20782.680011
-3.110739,8,20818.746347
-2.190907,5,20854.24139
-1.860371,5,20888.157984
-2.104273,6,20917.072195
-4.694729,13,20976.214166
-1.882081,5,21002.69805
-3.129571,7,21035.484296
-2.231812,6,21074.225469
-4.304349,12,21132.78383
-2.122008,6,21162.191567
-3.094624,7,21205.220841
-2.941905,8,21251.170604
-2.956052,9,21298.841027
-4.276822,17,21363.928275
-2.500418,6,21395.352261
-2.743197,8,21437.849093
-2.880844,7,21480.540639
-2.512289,6,21519.631236
-3.143746,8,21564.771996
-2.551352,6,21603.756092
-2.323628,7,21645.368929
-2.159216,6,21676.864958
-3.047184,8,21722.025465
-3.108597,8,21758.178152
-1.916107,5,21784.943039
-3.765184,11,21831.979628
-3.904893,13,21882.80935
-3.780264,9,21930.183939
-3.716595,11,21977.369659
-2.474786,6,22007.620795
-2.359401,6,22047.040537
-2.524176,7,22089.216182
-2.20298,6,22128.162462
-2.116202,6,22165.692131
-3.758761,11,22221.668987
-2.63192,6,22258.171369
-2.804503,6,22296.980518
-2.530322,7,22329.789482
-3.256017,8,22374.15897
-3.146231,10,22416.758193
-2.941863,9,22457.554052
-3.182229,9,22504.847088
-3.148817,7,22537.880077
-4.395563,10,22588.684837
-2.73516,6,22625.589702
-2.52332,7,22658.840779
-2.778165,8,22695.417983
-1.896211,5,22729.362773
-1.917633,5,22763.755889
-2.313404,6,22801.906918
-2.684095,7,22834.435051
-1.917657,5,22868.66763
-3.781437,9,22909.263288
-3.002503,10,22959.62937
-2.317199,6,22990.242743
-3.858285,11,23044.360361
-2.587642,8,23079.814923
-2.800416,8,23115.764401
-1.94636,5,23149.555292
-2.27532,6,23187.164968
-4.002147,11,23239.042776
-2.801879,7,23278.881516
-2.389245,6,23316.238452
-2.147715,6,23344.334285
-2.277427,6,23374.125429
-3.268976,13,23432.6075
-2.831933,8,23477.319363
-2.804924,9,23522.292202
-3.150043,8,23566.502553
-2.251684,5,23600.430527
-2.786418,7,23632.080071
-2.034644,5,23658.474188
-2.965751,7,23698.379731
-2.034389,5,23732.685678
-3.639927,9,23771.353066
-2.658378,6,23808.211482
-1.679468,4,23839.072246
-1.67934,4,23870.063007
-3.988002,8,23913.934325
-2.25161,5,23948.63829
-3.294877,8,23981.622571
-3.261079,8,24025.701405
-2.399902,6,24055.545016
-2.034133,5,24090.622496
-1.68718,4,24113.451057
-2.238631,6,24141.22921
-3.224864,8,24182.881317
-2.80963,9,24229.032402
-3.719178,12,24284.672671
-2.466366,7,24317.489117
-2.74423,8,24360.756777
-5.498654,26,24454.670201
-3.261388,8,24498.488262
-2.30956,6,24528.415592
-3.559923,8,24564.587152
-1.972857,5,24589.608998
-1.966375,5,24623.650869
-2.082551,5,24657.660812
-2.655064,6,24694.196748
-1.944426,5,24727.158576
-1.701771,4,24758.184525
-2.174145,6,24794.523844
-2.880305,7,24826.868736
-3.451374,8,24869.473844
-3.937076,10,24919.848714
-2.929666,7,24959.828661
-1.711706,4,24981.807956
-2.420871,7,25021.409178
-2.479817,7,25061.796099
-1.701666,4,25092.560939
-1.710251,4,25115.054399
-2.527846,6,25152.437111
-2.673882,6,25190.24232
-1.96665,5,25223.321424
-2.936275,8,25268.305176
-1.701712,4,25298.997463
-2.561276,7,25338.983834
-2.255622,6,25375.211878
-4.859443,11,25426.810948
-0.35498,1,25434.138644
-1.944415,5,25467.704708
-2.379997,5,25500.886977
-1.701864,4,25531.893334
-2.698615,8,25566.271743
-2.56342,7,25599.050756
